request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.0,affordable_now,full_payment,2025-08-03:15656000.0,2025-08-03,none,Recommended full_payment based on 90-day safety check.
request_27,6670.0,affordable_now,full_payment,2026-07-05:6670.0,2026-07-05,none,Recommended full_payment based on 90-day safety check.
request_28,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_29,51524.0,affordable_now,full_payment,2025-11-04:51524.0,2025-11-04,none,Recommended full_payment based on 90-day safety check.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Recommended installments based on 90-day safety check.
request_31,1655807.11,affordable_later,wait,none,2024-09-15,none,Recommended wait based on 90-day safety check.
request_32,4220.69,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_33,29605.18,affordable_later,wait,none,2026-02-15,none,Recommended wait based on 90-day safety check.
request_34,129400.0,affordable_now,full_payment,2024-12-04:129400.0,2024-12-04,none,Recommended full_payment based on 90-day safety check.
request_35,9828.26,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_36,674.8,affordable_later,wait,none,2026-09-15,none,Recommended wait based on 90-day safety check.
request_37,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_38,191.9,affordable_later,wait,none,2025-09-15,none,Recommended wait based on 90-day safety check.
request_39,70101.29,affordable_later,wait,none,2026-04-15,none,Recommended wait based on 90-day safety check.
request_40,161.2,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_41,10248580.44,affordable_later,wait,none,2025-11-15,none,Recommended wait based on 90-day safety check.
request_42,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_43,7851388.5,affordable_later,wait,none,2024-11-15,none,Recommended wait based on 90-day safety check.
request_44,23051.74,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_45,3708937.39,affordable_later,wait,none,2026-09-15,none,Recommended wait based on 90-day safety check.
request_46,30157.41,affordable_with_plan,partial_payment,2024-12-03:30157.41|2024-12-15:19292.59,2024-12-15,none,Recommended partial_payment based on 90-day safety check.
request_47,38114000.0,affordable_now,full_payment,2025-05-05:38114000.0,2025-05-05,none,Recommended full_payment based on 90-day safety check.
request_48,45700.0,affordable_now,full_payment,2026-07-25:45700.0,2026-07-25,none,Recommended full_payment based on 90-day safety check.
request_49,11369501.86,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_50,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_51,2191000.0,affordable_now,full_payment,2026-01-03:2191000.0,2026-01-03,none,Recommended full_payment based on 90-day safety check.
request_52,17829.36,affordable_later,wait,none,2024-06-15,none,Recommended wait based on 90-day safety check.
request_53,394.01,affordable_later,not_recommended,none,2026-01-15,none,Recommended not_recommended based on 90-day safety check.
request_54,2900.44,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_55,122825.95,affordable_later,not_recommended,none,2026-08-15,none,Recommended not_recommended based on 90-day safety check.
request_56,688.96,affordable_with_plan,partial_payment,2025-02-03:688.96|2025-02-15:192.6,2025-02-15,none,Recommended partial_payment based on 90-day safety check.
request_57,14668.81,affordable_later,wait,none,2026-05-15,none,Recommended wait based on 90-day safety check.
request_58,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Recommended installments based on 90-day safety check.
request_60,83.01,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Recommended installments based on 90-day safety check.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Recommended full_payment based on 90-day safety check.
request_63,49657.57,affordable_with_plan,partial_payment,2026-07-07:49657.57|2026-08-15:294242.43,2026-08-15,none,Recommended partial_payment based on 90-day safety check.
request_64,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_65,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.0,2026-04-03,none,Recommended full_payment based on 90-day safety check.
request_67,210.74,affordable_later,wait,none,2024-09-15,none,Recommended wait based on 90-day safety check.
request_68,1392.43,affordable_later,not_recommended,none,2025-04-15,none,Recommended not_recommended based on 90-day safety check.
request_69,454.2,affordable_later,wait,none,2026-03-15,none,Recommended wait based on 90-day safety check.
request_70,48080.83,affordable_later,wait,none,2025-02-15,none,Recommended wait based on 90-day safety check.
request_71,1290928.98,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_72,11009.56,affordable_later,wait,none,2026-07-15,none,Recommended wait based on 90-day safety check.
request_73,69113.23,affordable_later,wait,none,2023-02-15,none,Recommended wait based on 90-day safety check.
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.0,2025-08-04,none,Recommended full_payment based on 90-day safety check.
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Recommended installments based on 90-day safety check.
request_76,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_77,56888.64,affordable_later,wait,none,2025-11-15,none,Recommended wait based on 90-day safety check.
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.0,2025-10-02,none,Recommended full_payment based on 90-day safety check.
request_79,399.67,affordable_later,not_recommended,none,2024-10-15,none,Recommended not_recommended based on 90-day safety check.
request_80,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_81,1924.58,affordable_later,wait,none,2026-09-15,none,Recommended wait based on 90-day safety check.
request_82,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_83,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_84,34505.26,affordable_later,wait,none,2026-05-15,none,Recommended wait based on 90-day safety check.
request_85,126333.99,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.0,2025-08-03,none,Recommended full_payment based on 90-day safety check.
request_87,0.0,not_affordable,not_recommended,none,,none,Recommended not_recommended based on 90-day safety check.
